Season,Club,Player,Venue,Final Result
1960/61,SL Benfica,Ângelo Martins,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Costa Pereira,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Domiciano Cavém,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Fernando Cruz,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Germano,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,José Águas,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,José Augusto,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,José Neto,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Mário Coluna,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Mário João,"Berne, Switzerland",Benfica 3–2 Barcelona
1960/61,SL Benfica,Santana,"Berne, Switzerland",Benfica 3–2 Barcelona
1961/62,SL Benfica,Ângelo Martins,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,António Simões,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Costa Pereira,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Domiciano Cavém,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Eusébio,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Fernando Cruz,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Germano,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,José Águas,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,José Augusto,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Mário Coluna,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1961/62,SL Benfica,Mário João,"Amsterdam, Netherlands",Benfica 5–3 Real Madrid
1986/87,FC Porto,António André,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,António Frasco,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,António Sousa,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Augusto Inácio,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Eduardo Luís,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Festas,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Jaime Magalhães,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,João Pinto,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Paulo Futre,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Quim,"Vienna, Austria",Porto 2–1 Bayern Munich
1986/87,FC Porto,Zé Beto,"Vienna, Austria",Porto 2–1 Bayern Munich
1995/96,Juventus,Paulo Sousa,"Rome, Italy",Juventus 1–1 Ajax (4–2 pens)
1996/97,Borussia Dortmund,Paulo Sousa,"Munich, Germany",B. Dortmund 3–1 Juventus
2001/02,Real Madrid,Luís Figo,"Glasgow, Scotland",Real Madrid 2–1 Leverkusen
2002/03,AC Milan,Rui Costa,"Manchester, England",AC Milan 0–0 Juventus (3–2 pens)
2003/04,FC Porto,Costinha,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Deco,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,José Bosingwa,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Jorge Costa,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Maniche,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Nuno (GK),"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Nuno Valente,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Paulo Ferreira,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Pedro Emanuel,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Pedro Mendes,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Ricardo Carvalho,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Ricardo Costa,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2003/04,FC Porto,Vítor Baía,"Gelsenkirchen, Germany",Porto 3–0 Monaco
2005/06,FC Barcelona,Deco,"Paris, France",Barcelona 2–1 Arsenal
2007/08,Manchester United,Cristiano Ronaldo,"Moscow, Russia",Man United 1–1 Chelsea (6–5 pens)
2011/12,Chelsea,José Bosingwa,"Munich, Germany",Chelsea 1–1 Bayern (4–3 pens)
2011/12,Chelsea,Paulo Ferreira,"Munich, Germany",Chelsea 1–1 Bayern (4–3 pens)
2013/14,Real Madrid,Cristiano Ronaldo,"Lisbon, Portugal",Real Madrid 4–1 Atlético (aet)
2013/14,Real Madrid,Fábio Coentrão,"Lisbon, Portugal",Real Madrid 4–1 Atlético (aet)
2013/14,Real Madrid,Pepe,"Lisbon, Portugal",Real Madrid 4–1 Atlético (aet)
2016/17,Real Madrid,Cristiano Ronaldo,"Cardiff, Wales",Real Madrid 4–1 Juventus
2017/18,Real Madrid,Cristiano Ronaldo,"Kyiv, Ukraine",Real Madrid 3–1 Liverpool
2022/23,Manchester City,Bernardo Silva,"Istanbul, Turkey",Man City 1–0 Internazionale
2022/23,Manchester City,Rúben Dias,"Istanbul, Turkey",Man City 1–0 Internazionale
2024/25,Paris Saint-Germain,Gonçalo Ramos,"Munich, Germany",PSG 1–0 Inter Milan
2024/25,Paris Saint-Germain,João Neves,"Munich, Germany",PSG 1–0 Inter Milan
2024/25,Paris Saint-Germain,Nuno Mendes,"Munich, Germany",PSG 1–0 Inter Milan
2024/25,Paris Saint-Germain,Vitinha,"Munich, Germany",PSG 1–0 Inter Milan
